"gndr","agea","cntry","rgn","ctzmod","brnmod","domicil","prtnr","pdwrkp","isco08p","edumod","edutre","edupmod","eduptre","omogamia","chld3","chld10","chld14","anweight","psu","stratum","pdwrk"
"male",45,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.221951627747532,253,3,0
"female",41,"AT","West Europe","native","Europe","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0559723552857405,40,49,1
"male",33,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,3,2,1,1,2,2,0.580399219048536,298,14,0
"female",39,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",4,2,3,2,1,0,2,2,0.108809703728932,104,66,1
"female",50,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,0,0,0.0937864256060781,97,65,1
"male",47,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",7,3,6,3,1,0,0,0,0.713128352370011,73,57,1
"female",39,"AT","West Europe","immigrant","Rich","Big City",1,1,"professionals and employees",7,3,7,3,1,1,1,1,0.485810938896494,135,21,1
"female",31,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,1,1,0.203388287621545,157,22,1
"female",49,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",1,1,"professionals and employees",3,2,5,3,0,0,0,0,0.739306344185449,253,3,1
"male",49,"AT","West Europe","autochthonous","Rich","Farm or Countryside",1,1,"professionals and employees",3,2,8,3,0,1,1,1,0.451004698667835,278,9,0
"female",36,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,1,1,0.390697350160297,304,14,1
"female",30,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.441624085344749,319,56,1
"female",46,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",6,3,4,2,0,0,0,0,0.206756535868936,131,72,1
"female",50,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.0804668351832777,132,72,1
"female",46,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",2,1,3,2,0,0,0,0,0.263789501682288,199,84,0
"female",40,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,1,2,0.347333085124305,247,2,1
"female",48,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,1,0.262299572837955,326,31,1
"female",54,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.283606423203659,135,21,1
"male",25,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.142375732056406,199,84,1
"female",41,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.259853522590363,124,21,1
"female",32,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.245214529646197,229,91,1
"female",29,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",1,0,"6666666666",3,2,3,2,1,0,0,0,0.257673907905935,366,41,1
"female",54,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0548684762132697,52,51,0
"female",42,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",7,3,8,3,1,0,1,2,0.239488046670681,81,60,1
"female",39,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,1,0.409857698972658,211,87,1
"female",26,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",4,2,3,2,1,0,0,0,0.203388287621545,179,22,1
"male",51,"AT","West Europe","native","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.194163822788272,27,49,1
"female",36,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",4,2,3,2,1,1,1,1,0.0804668351832777,130,72,1
"male",55,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.131253420255822,22,48,1
"male",50,"AT","West Europe","autochthonous","Rich","Farm or Countryside",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0496667616403263,70,57,1
"female",27,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.0639814250600883,193,82,1
"female",49,"AT","West Europe","autochthonous","Rich","Big City",1,1,"manager",2,1,7,3,0,0,0,1,0.508211548933,308,37,1
"female",36,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,1,0.30378339375666,5,42,1
"female",32,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.402966170363337,2,1,1
"male",32,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,4,2,1,0,1,1,0.55359252789381,287,11,1
"female",46,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",6,3,6666666666,6666666666,6666666666,0,1,1,0.318812649889041,70,57,1
"female",50,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0763022422420785,279,24,1
"female",26,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.143158707256017,338,34,1
"female",50,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.109736952426539,52,51,1
"male",44,"AT","West Europe","native","Asia","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.460679278808804,319,56,0
"female",54,"AT","West Europe","immigrant","Rich","Small City",1,1,"elementary occupations",2,1,3,2,0,0,0,0,0.587755663940948,284,10,0
"female",52,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",3,2,6,3,0,0,0,0,0.291268934981431,223,37,1
"male",39,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,3,2,1,0,1,2,0.255537777839001,312,26,1
"female",34,"AT","West Europe","ethnic minorities","Rich","Suburbs or Outskirts of Big City",1,1,"professionals and employees",4,2,3,2,1,0,0,0,0.255400769783306,135,21,1
"female",31,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",1,0,"6666666666",7,3,4,2,0,0,0,0,0.835806326962424,124,21,1
"male",35,"AT","West Europe","native","Europe","Small City",1,0,"6666666666",2,1,2,1,1,1,1,1,0.098774030205271,93,64,1
"male",26,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0434577074469568,87,61,1
"female",45,"AT","West Europe","native","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.273362185570507,112,19,1
"female",49,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",6,3,6666666666,6666666666,6666666666,0,0,0,0.244669882561342,57,17,1
"male",41,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.197144364706944,337,33,0
"female",51,"AT","West Europe","autochthonous","Rich","Farm or Countryside",1,1,"manager",3,2,5,3,0,0,1,1,0.219473904853079,53,51,1
"female",48,"AT","West Europe","autochthonous","Rich","Big City",1,1,"manager",7,3,3,2,0,0,0,0,0.528636030687681,113,20,1
"male",40,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.128338474387472,319,56,1
"male",33,"AT","West Europe","autochthonous","Rich","Big City",1,1,"skilled manual workers",3,2,3,2,1,0,0,1,0.166497378624831,173,78,1
"male",46,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,0,0,0.535828764548108,294,13,1
"female",26,"AT","West Europe","autochthonous","Rich","Small City",1,1,"services and sales workers",4,2,3,2,1,0,0,0,0.221762330114529,336,33,1
"female",40,"AT","West Europe","native","Europe","Big City",1,1,"manager",3,2,3,2,1,0,1,1,0.320615163809844,319,56,0
"male",47,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",1,1,6666666666,6666666666,6666666666,0,0,0,0.0791079093760336,100,66,0
"female",34,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",7,3,3,2,0,0,2,2,0.398735180102467,204,85,1
"male",49,"AT","West Europe","autochthonous","Rich","Small City",1,1,"services and sales workers",3,2,3,2,1,0,0,0,0.243201813065099,4,42,1
"male",38,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",3,2,4,2,1,0,1,1,0.233183029218957,223,37,1
"female",28,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,1,1,0.0458804713667754,93,64,1
"male",50,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",7,3,3,2,0,0,1,2,0.454482783837257,23,48,1
"male",30,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0832486893124153,175,78,1
"male",55,"AT","West Europe","native","Asia","Big City",1,0,"6666666666",5,3,4,2,0,0,2,3,0.60916414046861,68,17,0
"female",34,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.347349866765507,288,12,1
"male",34,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,1.20842480785316,90,18,1
"female",46,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.143990424840535,174,78,1
"female",27,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,0,0.61130765301719,263,4,1
"female",30,"AT","West Europe","autochthonous","Rich","Small City",1,1,"skilled manual workers",3,2,3,2,1,2,2,3,0.527761296643042,298,14,1
"female",42,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,4,2,1,0,0,1,0.479697091707263,14,45,1
"male",27,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,4,2,1,0,0,0,0.580399219048536,302,14,1
"female",36,"AT","West Europe","autochthonous","Rich","Farm or Countryside",1,1,"professionals and employees",4,2,3,2,1,1,3,3,0.0947298257330396,194,82,0
"male",50,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",1,1,"manager",3,2,3,2,1,0,0,1,0.239857927007136,146,22,1
"female",52,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.30378339375666,371,42,1
"male",55,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.486373015840452,303,14,1
"male",38,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0672953400431788,174,78,1
"female",44,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,3,2,1,0,0,1,0.0827183750455832,71,57,1
"female",39,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,1,0.16208065592941,360,40,1
"male",41,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,1,2,0.356620859239195,270,6,1
"female",38,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,4,2,1,0,1,1,0.236239754746992,6,43,1
"female",25,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",6,3,6666666666,6666666666,6666666666,0,0,0,0.750133671826166,228,91,1
"female",55,"AT","West Europe","autochthonous","Rich","Small City",1,0,"6666666666",3,2,2,1,0,0,0,0,0.335290601004862,345,36,0
"female",48,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0482464171870085,204,85,1
"female",41,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,2,0.347333085124305,247,2,1
"female",34,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",4,2,4,2,1,0,2,2,0.36135522671192,289,12,1
"male",26,"AT","West Europe","ethnic minorities","Rich","Big City",1,0,"6666666666",3,2,0,1,0,1,1,1,0.166497378624831,177,78,1
"male",52,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.134430444222561,33,49,1
"male",29,"AT","West Europe","ethnic minorities","Rich","Big City",1,1,"elementary occupations",3,2,2,1,0,0,0,0,0.28973103801246,2,1,1
"female",31,"AT","West Europe","autochthonous","Rich","Small City",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.274597868949415,355,39,1
"female",44,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.100336001266825,120,69,1
"female",49,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.0936333381452399,78,59,1
"female",42,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",3,2,3,2,1,0,0,0,0.167917083863274,48,49,1
"female",26,"AT","West Europe","autochthonous","Rich","Big City",1,1,"skilled manual workers",3,2,3,2,1,1,1,1,0.146833499549166,158,77,0
"male",55,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0583766675029603,96,65,1
"male",38,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",4,2,4,2,1,0,0,0,0.227048619117437,135,21,1
"female",51,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.136495477390046,222,90,1
"male",43,"AT","West Europe","immigrant","America","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0672953400431788,167,78,0
"male",55,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,2,1,0,0,0,0,0.235855469568303,195,82,1
"male",40,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.227048619117437,135,21,1
"female",51,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",8,3,6666666666,6666666666,6666666666,0,0,0,0.273362185570507,112,19,1
"female",26,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.151283542445278,321,29,1
"male",54,"AT","West Europe","autochthonous","Rich","Big City",1,0,"6666666666",3,2,3,2,1,0,0,0,0.197144364706944,336,33,0
"female",48,"AT","West Europe","autochthonous","Rich","Farm or Countryside",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.726121015895292,229,91,1
"female",39,"AT","West Europe","autochthonous","Rich","Farm or Countryside",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,1,0.270909329034959,23,48,1
"male",52,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0672953400431788,172,78,1
"male",33,"AT","West Europe","autochthonous","Rich","Farm or Countryside",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.345485916192578,55,52,1
"male",35,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.217993231119881,229,91,1
"female",29,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",6,3,6666666666,6666666666,6666666666,0,0,0,0.564037659057963,222,90,1
"female",26,"AT","West Europe","autochthonous","Rich","Big City",1,0,"6666666666",6,3,7,3,1,2,2,2,1.01733737320257,308,37,0
"male",53,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",5,3,6666666666,6666666666,6666666666,0,0,0,0.35576395118682,290,25,0
"female",55,"AT","West Europe","autochthonous","Rich","Farm or Countryside",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.103376368295898,51,50,1
"male",54,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",3,2,3,2,1,0,0,0,0.140060549800507,91,63,1
"female",37,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",8,3,8,3,1,1,1,1,0.490134876401877,368,41,1
"male",41,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,1,2,0.180810029868193,201,22,1
"female",41,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",2,1,6666666666,6666666666,6666666666,0,0,0,0.0770284983753939,32,49,0
"male",55,"AT","West Europe","immigrant","Europe","Country Village",1,1,"elementary occupations",3,2,2,1,0,0,0,0,0.174188231929697,116,67,1
"male",53,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0603191874872483,62,54,1
"female",51,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",2,1,6666666666,6666666666,6666666666,0,0,0,0.128373775253971,117,67,0
"female",50,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0559723552857405,33,49,1
"female",28,"AT","West Europe","autochthonous","Rich","Small City",1,1,"skilled manual workers",3,2,3,2,1,1,2,2,0.68534414862131,254,4,1
"male",35,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,1,0.454287094055513,272,7,1
"female",53,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.189070954804457,135,21,1
"male",40,"AT","West Europe","autochthonous","Rich","Small City",1,1,"services and sales workers",3,2,3,2,1,0,0,1,0.168028811420849,117,67,1
"male",38,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",4,2,3,2,1,0,0,0,0.254533292177942,338,34,1
"male",32,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,1,2,0.13801985181337,151,76,1
"male",37,"AT","West Europe","immigrant","Rich","Big City",1,0,"6666666666",2,1,3,2,0,0,2,2,0.299155117946986,113,20,0
"female",46,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",7,3,7,3,1,0,1,1,0.26431801534384,113,20,1
"female",28,"AT","West Europe","immigrant","Rich","Small City",1,1,"skilled manual workers",3,2,3,2,1,1,2,2,0.527761296643042,296,14,0
"male",48,"AT","West Europe","native","Asia","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0493182409839962,183,79,0
"male",46,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,0,0,0.310514956592976,10,44,1
"male",25,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.166299095971484,40,49,1
"female",45,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.186326148128939,287,11,1
"female",40,"AT","West Europe","ethnic minorities","America","Suburbs or Outskirts of Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,1,1,0.0945354774022283,135,21,0
"male",38,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,4,2,1,0,0,0,0.105172904207174,66,55,1
"male",34,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,0,0,0.163019365479619,52,51,1
"male",31,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,2,2,0.561982052059115,272,7,1
"female",55,"AT","West Europe","autochthonous","Rich","Big City",1,1,"skilled manual workers",3,2,5,3,0,0,0,0,0.25588588885763,57,17,1
"male",55,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,4,2,1,0,0,0,0.120122438540819,205,85,1
"male",26,"AT","West Europe","autochthonous","Rich","Big City",1,1,"professionals and employees",4,2,6,3,0,0,0,0,0.154143821937351,79,18,1
"male",26,"AT","West Europe","autochthonous","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.161478227421146,154,77,1
"male",29,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",7,3,7,3,1,0,0,0,1.20842480785316,160,78,1
"male",49,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",7,3,3,2,0,0,0,0,1.20827391713076,11,44,1
"male",25,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.135693226710922,224,23,1
"female",49,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.0502297839020552,60,54,1
"female",49,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.868333180968135,247,2,1
"female",44,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.109798326057481,68,17,1
"male",32,"AT","West Europe","autochthonous","Rich","Country Village",1,0,"6666666666",3,2,2,1,0,0,2,2,0.271386453421844,246,23,1
"female",49,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",2,1,6666666666,6666666666,6666666666,0,0,0,0.0804654217081335,138,73,1
"female",27,"AT","West Europe","ethnic minorities","Rich","Small City",1,1,"manager",3,2,4,2,1,0,0,0,0.36135522671192,289,12,1
"female",46,"AT","West Europe","native","Europe","Big City",1,0,"6666666666",3,2,3,2,1,0,0,0,0.311286912088278,79,18,1
"female",54,"AT","West Europe","autochthonous","Rich","Small City",1,0,"6666666666",3,2,3,2,1,0,0,0,0.111944710571481,29,49,1
"male",52,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",5,3,3,2,0,0,0,0,1.20826282540224,293,13,1
"male",53,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.24914991453838,238,93,1
"female",49,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"skilled manual workers",3,2,3,2,1,0,0,0,0.29746822089116,295,13,1
"female",40,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0482464171870085,206,85,1
"female",32,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.143723800213817,311,26,1
"male",30,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"services and sales workers",3,2,3,2,1,0,1,1,0.240778522468236,364,40,1
"male",43,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,1,0.195800140841804,155,77,1
"female",44,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,1,2,0.0329651528412625,21,47,1
"male",42,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",7,3,6666666666,6666666666,6666666666,0,0,0,0.419625406418668,13,15,1
"female",32,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,1,1,0.0609936176991149,187,80,1
"female",52,"AT","West Europe","native","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.452545980774731,255,4,0
"male",39,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",4,2,3,2,1,0,1,2,0.198221252706279,309,25,1
"female",50,"AT","West Europe","native","Rich","Suburbs or Outskirts of Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.195033317071548,2,1,1
"female",28,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0680365547048513,208,86,1
"male",25,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.139185050498624,350,38,1
"female",36,"AT","West Europe","immigrant","Asia","Suburbs or Outskirts of Big City",1,1,"services and sales workers",6,3,6,3,1,1,1,2,0.519707045180726,124,21,0
